ChaoDaiA;ChaoDaiB;ChaoDaiC;QiZhiNianDai;StartYear;EndYear;DuCheng;AddressNow;TongZhiMinZu;KaiGuoYuanLao
旧石器时代;旧石器时代;旧石器时代;约前300-200万年;-3000000;-10000;;;;
新石器时代;新石器时代;新石器时代;约前1万年;-10000;-2700;;;;
三皇五帝;三皇五帝;三皇五帝;约前2700年;-2700;-2029;;;;
夏朝;夏朝;夏朝;约前2029-1559年;-2029;-1559;安邑;山西夏县;华夏族;禹
商朝;商朝;商朝;约前1559-1046年;-1559;-1046;亳;河南商丘;华夏族;汤
周;西;西;约前1046-771年;-1046;-771;镐京;陕西西安;华夏族;文王姬昌
周;东;春秋;前770-476年;-770;-476;洛邑;河南洛阳;华夏族;平王姬宜臼
周;东;战国;前475-221年;-475;-221;　;　;华夏族;　
秦朝;秦朝;秦朝;前221-207年;-221;-207;咸阳;陕西咸阳;华夏族;始皇帝嬴政
汉;汉;西汉;前206-公元8年;-206;8;长安;陕西西安;汉族;高祖刘邦
汉;汉;新朝;9-23年;9;23;常安;陕西西安;汉族;王莽
汉;汉;东汉;25-220年;25;220;洛阳;河南洛阳;汉族;光武帝刘秀
三国;三国;曹魏;220-265年;220;265;洛阳;河南洛阳;汉族;魏文帝曹丕
三国;三国;蜀汉;221-263年;221;263;成都;四川成都;汉族;汉昭烈帝刘备
三国;三国;孙吴;222-280年;222;280;建业;江苏南京;汉族;吴大帝孙权
晋;晋;西晋;265-316;265;316;洛阳;河南洛阳;汉族;晋武帝司马炎
晋;晋;东晋;317-420;317;420;建康;江苏南京;汉族;晋元帝司马睿
十六国;十六国;前赵(汉赵);304-329;304;329;平阳,长安;山西临汾,陕西西安;匈奴族;高祖光文皇帝刘渊
十六国;十六国;成汉;306-347;306;347;成都;四川成都;巴氐族;太宗武皇帝李雄
十六国;十六国;前凉;314-363;314;363;姑臧;甘肃武威;汉族;高祖明王张_
十六国;十六国;后赵;319-351;319;351;襄国;河北邢台;羯族;高祖明皇帝石勒
十六国;十六国;前燕;337-370;337;370;龙城;辽宁朝阳;鲜卑族;太祖文明皇帝慕容_
十六国;十六国;前秦;351-394;351;394;长安;陕西西安;氐族;世宗明皇帝符健
十六国;十六国;后秦;384-417;384;417;长安;陕西西安;羌族;太祖武昭皇帝姚苌
十六国;十六国;后燕;384-407;384;407;中山;河北定州;鲜卑族;世祖成武皇帝慕容垂
十六国;十六国;西秦;385-431;385;431;苑川;甘肃榆中;鲜卑族;烈祖宣烈王乞伏国仁
十六国;十六国;后凉;386-403;386;403;略阳;甘肃平凉;氐族;太祖懿武皇帝吕光
十六国;十六国;南凉;397-414;397;414;西平;青海西宁;鲜卑族;烈祖武王拓跋乌孤
十六国;十六国;南燕;398-410;398;410;广固;山东益都;鲜卑族;世宗献武皇帝慕容德
